Date,Category,Data
3/1/20,Confirmed Cases,1
3/1/20,New Cases,1
3/2/20,Confirmed Cases,1
3/2/20,New Cases,0
3/3/20,Confirmed Cases,2
3/3/20,New Cases,1
3/4/20,Confirmed Cases,2
3/4/20,New Cases,0
3/5/20,Confirmed Cases,2
3/5/20,New Cases,0
3/6/20,Confirmed Cases,3
3/6/20,New Cases,1
3/7/20,Confirmed Cases,3
3/7/20,New Cases,0
3/8/20,Confirmed Cases,3
3/8/20,New Cases,0
3/9/20,Confirmed Cases,3
3/9/20,New Cases,0
3/10/20,Confirmed Cases,5
3/10/20,New Cases,2
3/11/20,Confirmed Cases,5
3/11/20,New Cases,0
3/12/20,Confirmed Cases,5
3/12/20,New Cases,0
3/13/20,Confirmed Cases,14
3/13/20,New Cases,9
3/14/20,Confirmed Cases,17
3/14/20,New Cases,3
3/15/20,Confirmed Cases,20
3/15/20,New Cases,3
3/16/20,Confirmed Cases,21
3/16/20,New Cases,1
3/17/20,Confirmed Cases,23
3/17/20,New Cases,2
3/18/20,Confirmed Cases,33
3/18/20,New Cases,10
3/19/20,Confirmed Cases,44
3/19/20,New Cases,11
3/20/20,Confirmed Cases,54
3/20/20,New Cases,10
3/21/20,Confirmed Cases,66
3/21/20,New Cases,12
3/22/20,Confirmed Cases,83
3/22/20,New Cases,17
3/23/20,Confirmed Cases,106
3/23/20,New Cases,23
3/24/20,Confirmed Cases,124
3/24/20,New Cases,18
3/25/20,Confirmed Cases,132
3/25/20,New Cases,8
3/26/20,Confirmed Cases,165
3/26/20,New Cases,33
3/27/20,Confirmed Cases,203
3/27/20,New Cases,38
3/28/20,Confirmed Cases,239
3/28/20,New Cases,36
3/29/20,Confirmed Cases,294
3/29/20,New Cases,55
3/30/20,Confirmed Cases,408
3/30/20,New Cases,114
3/31/20,Confirmed Cases,488
3/31/20,New Cases,80
4/1/20,Confirmed Cases,566
4/1/20,New Cases,78
4/2/20,Confirmed Cases,657
4/2/20,New Cases,91
4/3/20,Confirmed Cases,711
4/3/20,New Cases,54
4/4/20,Confirmed Cases,806
4/4/20,New Cases,95
4/5/20,Confirmed Cases,922
4/5/20,New Cases,116
4/6/20,Confirmed Cases,1082
4/6/20,New Cases,160
4/7/20,Confirmed Cases,1229
4/7/20,New Cases,147
4/8/20,Confirmed Cases,1450
4/8/20,New Cases,221
4/9/20,Confirmed Cases,1727
4/9/20,New Cases,277
4/10/20,Confirmed Cases,2015
4/10/20,New Cases,288
4/11/20,Confirmed Cases,2349
4/11/20,New Cases,334
4/12/20,Confirmed Cases,2665
4/12/20,New Cases,316
4/13/20,Confirmed Cases,2976
4/13/20,New Cases,311
4/14/20,Confirmed Cases,3251
4/14/20,New Cases,275
4/15/20,Confirmed Cases,3529
4/15/20,New Cases,278
4/16/20,Confirmed Cases,3838
4/16/20,New Cases,309
4/17/20,Confirmed Cases,4177
4/17/20,New Cases,366
4/18/20,Confirmed Cases,4491
4/18/20,New Cases,317
4/19/20,Confirmed Cases,4706
4/19/20,New Cases,230
4/20/20,Confirmed Cases,5090
4/20/20,New Cases,339
4/21/20,Confirmed Cases,5500
4/21/20,New Cases,394
4/22/20,Confirmed Cases,5841
4/22/20,New Cases,365
4/23/20,Confirmed Cases,6256
4/23/20,New Cases,412
4/24/20,Confirmed Cases,6699
4/24/20,New Cases,437
4/25/20,Confirmed Cases,7129
4/25/20,New Cases,430
4/26/20,Confirmed Cases,7439
4/26/20,New Cases,310
4/27/20,Confirmed Cases,7708
4/27/20,New Cases,269
4/28/20,Confirmed Cases,7926
4/28/20,New Cases,218
4/29/20,Confirmed Cases,8247
4/29/20,New Cases,321
4/30/20,Confirmed Cases,8621
4/30/20,New Cases,374
5/1/20,Confirmed Cases,8962
5/1/20,New Cases,341
5/2/20,Confirmed Cases,9289
5/2/20,New Cases,327
5/3/20,Confirmed Cases,9477
5/3/20,New Cases,188
5/4/20,Confirmed Cases,9652
5/4/20,New Cases,175
5/5/20,Confirmed Cases,9933
5/5/20,New Cases,281
5/6/20,Confirmed Cases,10205
5/6/20,New Cases,272
5/7/20,Confirmed Cases,10530
5/7/20,New Cases,325
5/8/20,Confirmed Cases,10779
5/8/20,New Cases,249
5/9/20,Confirmed Cases,10989
5/9/20,New Cases,210
5/10/20,Confirmed Cases,11274
5/10/20,New Cases,285
5/11/20,Confirmed Cases,11450
5/11/20,New Cases,176
5/12/20,Confirmed Cases,11614
5/12/20,New Cases,164
5/13/20,Confirmed Cases,11835
5/13/20,New Cases,221
5/14/20,Confirmed Cases,12016
5/14/20,New Cases,281
5/15/20,Confirmed Cases,12219
5/15/20,New Cases,203
5/16/20,Confirmed Cases,12434
5/16/20,New Cases,215
5/17/20,Confirmed Cases,12674
5/17/20,New Cases,240
5/18/20,Confirmed Cases,12795
5/18/20,New Cases,121
5/19/20,Confirmed Cases,12951
5/19/20,New Cases,134
5/20/20,Confirmed Cases,13356
5/20/20,New Cases,209
5/21/20,Confirmed Cases,13571
5/21/20,New Cases,289
5/22/20,Confirmed Cases,13736
5/22/20,New Cases,165
5/23/20,Confirmed Cases,13952
5/23/20,New Cases,203
5/24/20,Confirmed Cases,14065
5/24/20,New Cases,116
5/25/20,Confirmed Cases,14065
5/25/20,New Cases,0
5/26/20,Confirmed Cases,14210
5/26/20,New Cases,145
5/27/20,Confirmed Cases,14353
5/27/20,New Cases,143
5/28/20,Confirmed Cases,14494
5/28/20,New Cases,124
